x y label
1.15 -1.07 0
-0.75 -2.73 0
3.25 -2.78 0
-2.29 1.39 0
4.61 -4.03 0
-4.56 -4.97 1
-0.7 1.5 0
4.29 0.39 0
-3.1 -3.21 1
3.16 -4.15 0
-0.72 -0.32 1
-3.44 -1.15 0
-2.14 0.3 0
-3.04 -3.24 1
-3.66 2.17 0
4.44 -1.39 0
2.58 3.19 1
0.31 -0.3 1
3.41 3.88 1
-0.91 -2.2 0
-4.82 1.1 0
-4.17 -1.03 0
-1.87 -0.42 0
-0.66 -0.44 1
-2.94 0.51 0
3.24 -0.07 0
2.47 3.14 1
4.64 -1.4 0
-2.52 -2.96 1
-3.39 2.33 0
-4.96 0.1 0
2.54 -0.57 0
4.14 1.81 0
4.44 -1.33 0
-1.46 2.27 0
2.34 0.55 0
-0.09 -1.37 0
3.77 2.92 1
3.69 -0.31 0
-0.82 2.8 0
-4.76 3.63 0
-4.69 -2.3 0
-0.16 0.03 1
-0.9 -2.42 0
1.95 -2.83 0
4.3 -3.72 0
-1.07 0.88 0
3.36 2.08 0
-1.26 -3.83 0
-3.7 4.58 0
-4.98 0.37 0
-1.79 -3.58 0
-1.35 -3.36 0
3.21 -2.69 0
1.21 0.23 1
3.96 3.8 1
-1.54 1.19 0
-4.52 -4.47 1
0.49 -0.04 1
4.05 -2.69 0
1.9 0.95 1
-3.15 -4.36 0
3.79 1.78 0
2.56 -4.76 0
-0.01 -0.22 1
2.99 -1.04 0
4.21 -0.22 0
3.74 1.68 0
1.04 2.72 0
0.53 1.39 1
3.33 2.72 1
-3.7 -1.52 0
1.15 0.19 1
0.12 3.9 0
1.41 -3.87 0
-4.64 2.06 0
2.07 1.99 1
-4.99 4.01 0
-0.29 3.62 0
-2.02 0.28 0
-2.08 -0.35 0
0.63 -2.56 0
2.72 3.05 1
-4.48 4.26 0
2.93 0.55 0
-2.22 -4.47 0
-2.91 0.96 0
3.61 0.89 0
-2.25 -2.82 1
-4.15 3.53 0
3.22 -3.89 0
-0.5 -2.1 0
-3.1 2.6 0
2.53 -2.99 0
-1.75 -1.92 1
-0.35 0.84 0
-4.98 -2.92 0
-1.21 -3.64 0
3.17 3.19 1
-0.15 0.59 1
